Geography,Geographic Area Name,Occupied housing units
0500000US37001,Alamance ,70125
0500000US37019,Brunswick ,69478
0500000US37021,Buncombe ,103428
0500000US37023,Burke ,37296
0500000US37025,Cabarrus ,87195
0500000US37027,Caldwell ,33429
0500000US37031,Carteret ,31294
0500000US37035,Catawba ,67237
0500000US37037,Chatham ,34020
0500000US37045,Cleveland ,38712
0500000US37049,Craven ,42575
0500000US37051,Cumberland ,132366
0500000US37057,Davidson ,68813
0500000US37063,Durham ,140637
0500000US37067,Forsyth ,156738
0500000US37069,Franklin ,27803
0500000US37071,Gaston ,95687
0500000US37081,Guilford ,220704
0500000US37085,Harnett ,50584
0500000US37089,Henderson ,52076
0500000US37097,Iredell ,74346
0500000US37101,Johnston ,85906
0500000US37105,Lee ,25234
0500000US37109,Lincoln ,37830
0500000US37119,Mecklenburg ,472427
0500000US37125,Moore ,44625
0500000US37127,Nash ,38214
0500000US37129,New Hanover ,103978
0500000US37133,Onslow ,75898
0500000US37135,Orange ,58048
0500000US37141,Pender ,26039
0500000US37147,Pitt ,74938
0500000US37151,Randolph ,58218
0500000US37155,Robeson ,43716
0500000US37157,Rockingham ,39830
0500000US37159,Rowan ,58190
0500000US37171,Surry ,31038
0500000US37179,Union ,84214
0500000US37183,Wake ,445464
0500000US37191,Wayne ,47283
0500000US37193,Wilkes ,26947
0500000US37195,Wilson ,33587
